Capital Requirement,Expected Loss
485769.91485382186,14986.895182497994
452243.68073633267,13719.0116237319
447697.66436514864,13536.473291227614
421067.51579115645,12014.626646047258
429638.1430804632,12417.33065534152
428610.71711950505,12465.67361694901
441045.4299854072,13316.552779882344
451014.10722729535,13636.62711246598
431134.4054091481,13107.148192587527
448873.0092770684,13748.902819041807
475275.1216452053,14500.563252383537
453537.6515631486,13773.640680090688
435557.48104549525,13029.027736290187
445296.1441333135,13437.877023514236
426973.50980178296,12215.108747696613
439644.19127111573,13160.625023373246
433767.59246891516,12155.65617648585
428726.8499047172,13644.354138607861
453462.8659309165,12586.018050916735
454503.54705460893,13336.74795568985
432292.09794960904,12788.277020698555
463978.1646201316,13995.749875948657
473778.61907339084,14307.61324594381
469445.38157759747,14556.237847379845
460245.1635427517,13514.023170115675
465078.0707281664,16172.520666241879
448052.1093779079,14649.319162723514
423253.6866193127,11978.087033922984
412205.60760847083,11696.97934338425
458599.25353209605,14743.370187365508
434505.55592553946,13034.077723495508
423377.2060555047,13000.976501929963
430290.02016195323,12624.915411921897
